Class,Accuracy,Recall,Precision,F1
0,1.0,0.99,0.96,0.97
1,1.0,0.98,0.98,0.98
2,0.99,0.95,0.93,0.94
3,0.99,0.97,0.97,0.97
4,0.99,0.96,0.95,0.96
5,0.99,0.95,0.98,0.96
6,1.0,0.98,0.98,0.98
7,0.99,0.95,0.95,0.95
8,0.99,0.95,0.97,0.96
9,0.99,0.94,0.97,0.95
