"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"99999994993","2001-01-01T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1655","","-6","","","29.16","","6.5","0","-19.5","71","13","-24","210","40","0.00","","","220","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD52324 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 1324 HR MAX TEMP TIME (LST):2311 24 HR MIN TEMP (F):-2424 HR MIN TEMP TIME (LST):0650 AVERAGE STATION PRESSURE:29.16  PEAK WIND SPEED (MPH): 40 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):2310  FASTEST 2MIN SPEED (MPH): 28FASTEST 2MIN DIR (DEG):220 FASTEST 2MIN TIME (LST):2311 AVERAGE WIND SPEED (MPH): 6.5 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-02T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1656","","22","","","28.91","","17.3","0","8.6","43","34","10","300","38","0.00","","","230","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3424 HR MAX TEMP TIME (LST):2106 24 HR MIN TEMP (F): 1024 HR MIN TEMP TIME (LST):0049 AVERAGE STATION PRESSURE:28.91  PEAK WIND SPEED (MPH): 38 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):1558  FASTEST 2MIN SPEED (MPH): 33FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):0424 AVERAGE WIND SPEED (MPH):17.3 24 HR AVG TEMP (F):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-03T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1657","","26","","","28.79","","4.2","0","12.7","39","39","13","230","13","0.07s","","","270","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.07 24 HR MAX TEMP (F): 3924 HR MAX TEMP TIME (LST):2359 24 HR MIN TEMP (F): 1324 HR MIN TEMP TIME (LST):1009 AVERAGE STATION PRESSURE:28.79  PEAK WIND SPEED (MPH): 13 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):2333  FASTEST 2MIN SPEED (MPH): 12FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):0324 AVERAGE WIND SPEED (MPH): 4.2 24 HR AVG TEMP (F):26 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .02  .04  .01  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-04T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1658","","45","","","28.45","","24.2","0","31.8","20","53","36","300","47","0.00","","","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD52324 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5324 HR MAX TEMP TIME (LST):1042 24 HR MIN TEMP (F): 3624 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:28.45  PEAK WIND SPEED (MPH): 47 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):1419  FASTEST 2MIN SPEED (MPH): 41FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):1420 AVERAGE WIND SPEED (MPH):24.2 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-05T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1659","","31","","","28.58","","16.1","0","17.9","34","36","26","300","44","0.00","","","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3624 HR MAX TEMP TIME (LST):2357 24 HR MIN TEMP (F): 2624 HR MIN TEMP TIME (LST):1915 AVERAGE STATION PRESSURE:28.58  PEAK WIND SPEED (MPH): 44 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):0058  FASTEST 2MIN SPEED (MPH): 33FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):0011 AVERAGE WIND SPEED (MPH):16.1 24 HR AVG TEMP (F):31 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-06T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0809","1700","","33","","","28.40","","19.3","0","19.9","32","40","26","280","37","0.00","","","300","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4024 HR MAX TEMP TIME (LST):1457 24 HR MIN TEMP (F): 2624 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:28.40  PEAK WIND SPEED (MPH): 37 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):0122  FASTEST 2MIN SPEED (MPH): 29FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):0439 AVERAGE WIND SPEED (MPH):19.3 24 HR AVG TEMP (F):33 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-07T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0808","1701","","23","","","28.78","","10.9","0","10.0","42","29","17","350","24","0.00","","","350","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 2924 HR MAX TEMP TIME (LST):1915 24 HR MIN TEMP (F): 1724 HR MIN TEMP TIME (LST):0929 AVERAGE STATION PRESSURE:28.78  PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):0212  FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):0214 AVERAGE WIND SPEED (MPH):10.9 24 HR AVG TEMP (F):23 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-08T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0808","1702","","17","","","28.87","","6.7","0","4.1","48","24","9","020","17","0.00","","","020","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 2424 HR MAX TEMP TIME (LST):0144 24 HR MIN TEMP (F):  924 HR MIN TEMP TIME (LST):2102 AVERAGE STATION PRESSURE:28.87  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):020 PEAK WIND TIME (LST):0928  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):020 FASTEST 2MIN TIME (LST):0929 AVERAGE WIND SPEED (MPH): 6.7 24 HR AVG TEMP (F):17 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-09T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0808","1703","","28","","","28.68","","16.9","0","15.1","37","46","9","220","52","0.00","","","220","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4624 HR MAX TEMP TIME (LST):1651 24 HR MIN TEMP (F):  924 HR MIN TEMP TIME (LST):0221 AVERAGE STATION PRESSURE:28.68  PEAK WIND SPEED (MPH): 52 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):2226  FASTEST 2MIN SPEED (MPH): 40FASTEST 2MIN DIR (DEG):220 FASTEST 2MIN TIME (LST):2227 AVERAGE WIND SPEED (MPH):16.9 24 HR AVG TEMP (F):28 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
"99999994993","2001-01-10T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0807","1704","","31","","","28.50","","10.4","0","18.1","34","41","20","220","47","0.00","","","230","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4124 HR MAX TEMP TIME (LST):0143 24 HR MIN TEMP (F): 2024 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:28.50  PEAK WIND SPEED (MPH): 47 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):0159  FASTEST 2MIN SPEED (MPH): 37FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):0212 AVERAGE WIND SPEED (MPH):10.4 24 HR AVG TEMP (F):31 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-11-07"
